product_name,Ventas_Totales,Beneficio_Total,Margen_Beneficio
"Bevis Conference Table, Rectangular",3686,369,10.0109
"Advantus Thumb Tacks, 12 Pack",210,21,10
"Cuisinart Coffee Grinder, Silver",312,31,9.9359
DAX Natural Wood-Tone Poster Frame,323,32,9.9071
"Brother Wireless Fax, High-Speed",10268,1017,9.9046
"Brother Fax Machine, Color",13919,1376,9.8858
"Rogers Trays, Industrial",4595,454,9.8803
"Safco Classic Bookcase, Traditional",24913,2453,9.8463
"Bevis Oval Conference Table, Walnut",6628,652,9.8371
"Harbour Creations Shipping Labels, Adjustable",234,23,9.8291
"Hamilton Beach Coffee Grinder, Black",682,67,9.824
"Rogers Trays, Wire Frame",4667,456,9.7707
"Smead Removable Labels, 5000 Label Set",164,16,9.7561
"Panasonic Phone, Red",2199,214,9.7317
Heavy-Duty E-Z-D Binders,134,13,9.7015
"Enermax Computer Printout Paper, 8.5 x 11",848,82,9.6698
"KitchenAid Blender, Black",2028,196,9.6647
"Dania Library with Doors, Pine",16205,1564,9.6513
"Acco Binding Machine, Clear",2925,282,9.641
"Sanford Pencil Sharpener, Water Color",3006,287,9.5476
"Motorola Office Telephone, with Caller ID",901,86,9.545
"Wilson Jones Hole Reinforcements, Clear",147,14,9.5238
"Safco Stackable Bookrack, Traditional",4054,386,9.5215
"StarTech Card Printer, White",8863,842,9.5002
"Memorex Router, Bluetooth",14036,1330,9.4756
"Wilson Jones Binding Machine, Recycled",3087,292,9.459
"Lesro Conference Table, Adjustable Height",10920,1032,9.4505
"Accos Staples, Assorted Sizes",106,10,9.434
"Panasonic Inkjet, White",9989,942,9.4304
"Fellowes Folders, Industrial",806,76,9.4293
"Smead File Cart, Single Width",19795,1864,9.4165
"Green Bar Parchment Paper, Recycled",800,75,9.375
"Bush 3-Shelf Cabinet, Mobile",4085,380,9.3023
"BIC Sketch Pad, Fluorescent",1077,100,9.2851
"Acme Ruler, Easy Grip",97,9,9.2784
"Bevis Conference Table, Fully Assembled",13960,1295,9.2765
"Wilson Jones Index Tab, Durable",281,26,9.2527
"Ikea Stackable Bookrack, Traditional",5303,490,9.2401
"Memorex Router, USB",17340,1602,9.2388
"Rubbermaid Light Bulb, Erganomic",380,35,9.2105
"Ikea 3-Shelf Cabinet, Metal",4167,383,9.1913
"Ibico Binding Machine, Recycled",3682,337,9.1526
"Rogers Trays, Single Width",1619,148,9.1414
Belkin 8 Outlet Surge Protector,361,33,9.1413
"BIC Markers, Easy-Erase",1295,118,9.112
"Tenex Lockers, Wire Frame",15868,1444,9.1001
"Hoover Refrigerator, Silver",5797,527,9.0909
"Office Star Rocking Chair, Adjustable",9813,889,9.0594
"Sharp Personal Copier, Digital",5941,538,9.0557
"Eldon Door Stop, Durable",1255,113,9.004
"Office Star Bag Chairs, Adjustable",1479,133,8.9926
"Binney & Smith Markers, Blue",835,75,8.982
"Ikea Classic Bookcase, Metal",23407,2097,8.9589
"Tenex Shelving, Blue",2630,235,8.9354
"Cuisinart Coffee Grinder, Red",697,62,8.8953
"Stanley Markers, Blue",742,66,8.8949
"Acme Trimmer, Steel",1137,101,8.883
"Stockwell Thumb Tacks, Assorted Sizes",518,46,8.8803
"Barricks Training Table, Rectangular",4990,442,8.8577
"Sanford Pencil Sharpener, Fluorescent",906,80,8.83
"Novimex Steel Folding Chair, Red",3360,296,8.8095
"GlobeWeis Mailers, with clear poly window",477,42,8.805
"Konica Receipt Printer, Red",2994,263,8.7842
Storex Dura Pro Binders,57,5,8.7719
"Samsung Signal Booster, VoIP",4516,396,8.7688
"Rogers Shelving, Wire Frame",3479,305,8.7669
"StarTech Calculator, White",697,61,8.7518
"Hon Executive Leather Armchair, Black",26871,2347,8.7343
"Cuisinart Refrigerator, Black",14222,1239,8.7119
"Konica Calculator, Red",896,78,8.7054
"Ibico Binding Machine, Economy",3448,300,8.7007
"Stanley Markers, Water Color",1382,120,8.6831
"Green Bar Parchment Paper, Premium",196,17,8.6735
"Avery Binder Covers, Recycled",542,47,8.6716
Nu-Dell Executive Frame,346,30,8.6705
"Hon File Folder Labels, Adjustable",150,13,8.6667
"HP Wireless Fax, Laser",16713,1441,8.622
"Office Star Steel Folding Chair, Adjustable",4919,424,8.6196
"Canon Wireless Fax, Color",24701,2129,8.6191
"Memorex Flash Drive, Bluetooth",453,39,8.6093
"Hon Color Coded Labels, 5000 Label Set",151,13,8.6093
"Samsung Audio Dock, VoIP",4079,350,8.5805
"Tenex File Cart, Blue",6831,586,8.5785
"Boston Markers, Blue",1390,119,8.5612
"Enermax Memory Card, USB",7651,654,8.5479
"HP Ink, High-Speed",4461,381,8.5407
"Hewlett Fax Machine, Laser",11992,1024,8.539
"Eldon Trays, Single Width",3395,288,8.4831
"Tenex Door Stop, Black",1039,88,8.4697
"HP Wireless Fax, High-Speed",10580,896,8.4688
"Eldon Light Bulb, Erganomic",450,38,8.4444
"Green Bar Note Cards, Premium",1220,103,8.4426
"Sanford Pens, Blue",214,18,8.4112
"Acco Hole Reinforcements, Durable",321,27,8.4112
"Kleencut Ruler, Serrated",250,21,8.4
"Breville Blender, Black",644,54,8.3851
Ibico Standard Transparent Covers,179,15,8.3799
GBC Twin Loop Wire Binding Elements,872,73,8.3716
Avery Round Ring Poly Binders,12,1,8.3333
"Wilson Jones Hole Reinforcements, Durable",108,9,8.3333
"SanDisk Router, Bluetooth",12985,1077,8.2942
"Sanford Pens, Water Color",157,13,8.2803
"SanDisk Keyboard, Erganomic",2595,214,8.2466
"Dania Library with Doors, Metal",15825,1303,8.2338
"Novimex Color Coded Labels, Alphabetical",219,18,8.2192
"Cardinal Hole Reinforcements, Recycled",134,11,8.209
"Dania Floating Shelf Set, Pine",2220,182,8.1982
"Wilson Jones Binder, Durable",428,35,8.1776
"Sanford Sketch Pad, Blue",2289,186,8.1258
"OIC Clamps, Bulk Pack",678,55,8.1121
"Konica Card Printer, Red",5960,483,8.104
"Cardinal Binder, Recycled",864,70,8.1019
"Sanford Highlighters, Fluorescent",535,43,8.0374
"Dania Stackable Bookrack, Traditional",5874,472,8.0354
"Cisco Headset, with Caller ID",3886,310,7.9774
"Safco Stackable Bookrack, Pine",10619,846,7.9669
"Ikea Stackable Bookrack, Metal",5740,455,7.9268
"Boston Canvas, Fluorescent",5204,412,7.917
"Belkin Mouse, Erganomic",1947,154,7.9096
"Avery 3-Hole Punch, Durable",739,58,7.8484
"HP Fax and Copier, Color",5375,418,7.7767
"Konica Receipt Printer, White",3100,241,7.7742
"Ibico 3-Hole Punch, Economy",863,67,7.7636
"Avery Flip-Chart Easel Binder, Black",116,9,7.7586
"Epson Receipt Printer, Durable",2276,176,7.7329
"Cisco Speaker Phone, VoIP",3834,296,7.7204
"SanDisk Memory Card, Bluetooth",4094,315,7.6942
"Stockwell Rubber Bands, Metal",637,49,7.6923
"Smead Box, Industrial",234,18,7.6923
"Epson Calculator, White",286,22,7.6923
"Panasonic Calculator, Durable",1379,106,7.6867
"Eldon Lockers, Wire Frame",11020,847,7.686
"Acco Index Tab, Clear",482,37,7.6763
"Ibico 3-Hole Punch, Clear",1526,117,7.6671
"Stockwell Clamps, Metal",1057,81,7.6632
"Hon Swivel Stool, Red",5570,426,7.6481
"Canon Copy Machine, Digital",11008,839,7.6217
"Samsung Signal Booster, Cordless",5316,405,7.6185
Ibico Ibimaster 300 Manual Binding System,7250,552,7.6138
"Advantus Frame, Durable",3888,296,7.6132
"Sauder 3-Shelf Cabinet, Mobile",8016,610,7.6098
"Acme Scissors, Easy Grip",644,49,7.6087
"Hon Steel Folding Chair, Set of Two",3669,279,7.6043
"Eaton Computer Printout Paper, Recycled",820,62,7.561
"Apple Smart Phone, Full Size",81633,6171,7.5594
"Bush Corner Shelving, Traditional",3058,231,7.554
"Kraft Clasp Envelope, with clear poly window",398,30,7.5377
"Memorex Memory Card, Erganomic",3982,300,7.5339
"Stanley Markers, Easy-Erase",1037,78,7.5217
"Belkin Memory Card, Programmable",7437,558,7.503
"Tenex The Solids"""" Textured Chair Mats""""",1120,84,7.5
"Accos Push Pins, 12 Pack",80,6,7.5
"Safco Floating Shelf Set, Traditional",7389,550,7.4435
"HP Copy Machine, Color",15934,1183,7.4244
"Cuisinart Blender, Black",1443,107,7.4151
"HP Fax and Copier, Digital",4653,345,7.4146
"Fellowes Box, Industrial",1309,97,7.4102
"Tenex Lockers, Blue",16258,1204,7.4056
"Tenex Frame, Durable",2612,193,7.389
"Brother Wireless Fax, Color",12465,913,7.3245
"Green Bar Memo Slips, Multicolor",205,15,7.3171
Holmes HEPA Air Purifier,123,9,7.3171
"OIC Thumb Tacks, 12 Pack",151,11,7.2848
"Eaton Message Books, Multicolor",962,70,7.2765
"KitchenAid Stove, Black",18789,1367,7.2755
"Avery Binder Covers, Durable",701,51,7.2753
"Xerox Message Books, Recycled",220,16,7.2727
"Eaton Message Books, 8.5 x 11",510,37,7.2549
"Cardinal Index Tab, Durable",262,19,7.2519
"Novimex Round Labels, Adjustable",69,5,7.2464
"SanDisk Flash Drive, Erganomic",457,33,7.221
"Stockwell Staples, Bulk Pack",416,30,7.2115
"Stockwell Staples, Metal",445,32,7.191
"Lesro Coffee Table, Rectangular",1398,100,7.1531
"Ibico Hole Reinforcements, Clear",84,6,7.1429
"Deflect-O Frame, Duo Pack",2885,206,7.1404
"Rogers Lockers, Industrial",14261,1018,7.1383
"Acco 3-Hole Punch, Clear",745,53,7.1141
"Harbour Creations Steel Folding Chair, Black",4428,315,7.1138
"Hamilton Beach Stove, White",20611,1460,7.0836
"Bevis Round Table, Adjustable Height",4406,312,7.0813
"Hon Rocking Chair, Black",7006,496,7.0796
"Lesro Training Table, Fully Assembled",3054,216,7.0727
"Logitech Numeric Keypad, USB",1052,74,7.0342
"Fellowes Lockers, Blue",18658,1306,6.9997
"Sanford Pencil Sharpener, Easy-Erase",2216,155,6.9946
"Epson Card Printer, Durable",6563,459,6.9938
"Jiffy Peel and Seal, with clear poly window",502,35,6.9721
"Hewlett Fax and Copier, High-Speed",7752,540,6.9659
"Advantus Paper Clips, Bulk Pack",201,14,6.9652
Avanti 4.4 Cu. Ft. Refrigerator,2606,181,6.9455
"Hewlett Fax Machine, Digital",6457,448,6.9382
"Breville Microwave, White",12980,900,6.9337
"Logitech Memory Card, Erganomic",4385,304,6.9327
"Kleencut Shears, High Speed",739,51,6.9012
"Accos Rubber Bands, 12 Pack",392,27,6.8878
"BIC Markers, Blue",773,53,6.8564
"GlobeWeis Mailers, Security-Tint",1199,82,6.839
"Smead Shelving, Wire Frame",2035,139,6.8305
"Enermax Cards & Envelopes, Premium",1044,71,6.8008
"Novimex Rocking Chair, Set of Two",5897,401,6.8001
"Tenex Trays, Wire Frame",2356,160,6.7912
"Hon Removable Labels, 5000 Label Set",118,8,6.7797
"Jiffy Interoffice Envelope, Security-Tint",1151,78,6.7767
"Avery Removable Labels, Alphabetical",192,13,6.7708
"Smead Trays, Single Width",2672,180,6.7365
"Cisco Office Telephone, with Caller ID",1927,129,6.6943
"GlobeWeis Interoffice Envelope, Security-Tint",898,60,6.6815
"Ibico Index Tab, Clear",644,43,6.677
"Jiffy Manila Envelope, Set of 50",645,43,6.6667
"Stockwell Thumb Tacks, Bulk Pack",690,46,6.6667
"Cuisinart Toaster, White",937,62,6.6169
"Cardinal Binder, Clear",605,40,6.6116
"Okidata Printer, Red",4025,266,6.6087
"Panasonic Receipt Printer, Red",2324,153,6.5835
"Bush Library with Doors, Pine",8345,549,6.5788
"Samsung Headset, VoIP",3017,198,6.5628
"Belkin Router, Bluetooth",11870,776,6.5375
"Eaton Memo Slips, Multicolor",554,36,6.4982
"Sharp Personal Copier, High-Speed",1817,118,6.4942
"Advantus Rubber Bands, Metal",385,25,6.4935
"Motorola Audio Dock, with Caller ID",5354,347,6.4811
"Epson Printer, White",7280,470,6.456
"Hewlett Wireless Fax, Color",23114,1489,6.442
"Novimex Chairmat, Black",1680,108,6.4286
"Stockwell Thumb Tacks, Metal",484,31,6.405
"Logitech Keyboard, Programmable",2570,163,6.3424
"Logitech Keyboard, USB",2068,131,6.3346
"OIC Clamps, 12 Pack",427,27,6.3232
"Rubbermaid Photo Frame, Durable",1552,98,6.3144
"Ames Peel and Seal, Recycled",365,23,6.3014
"Samsung Smart Phone, Cordless",40673,2556,6.2843
"Hamilton Beach Stove, Red",11515,723,6.2788
"Kraft Business Envelopes, Recycled",447,28,6.264
"StarTech Printer, White",1629,102,6.2615
"Deflect-O Door Stop, Duo Pack",1121,70,6.2444
"Okidata Card Printer, Durable",2261,141,6.2362
"Enermax Computer Printout Paper, Recycled",727,45,6.1898
"Kleencut Box Cutter, Serrated",809,50,6.1805
Wilson Jones Legal Size Ring Binders,356,22,6.1798
"Panasonic Inkjet, Durable",7585,468,6.1701
"Panasonic Receipt Printer, White",3876,239,6.1662
"Harbour Creations Bag Chairs, Red",2003,123,6.1408
"Stiletto Ruler, Easy Grip",783,48,6.1303
"SAFCO Bag Chairs, Adjustable",1359,83,6.1074
"Hamilton Beach Refrigerator, White",12240,747,6.1029
"Brother Ink, High-Speed",3822,233,6.0963
"Safco Classic Bookcase, Mobile",27519,1675,6.0867
"Safco Library with Doors, Mobile",14608,889,6.0857
"Sharp Fax and Copier, Color",8413,510,6.062
"Wilson Jones Binding Machine, Economy",2826,171,6.051
"Binney & Smith Sketch Pad, Water Color",3273,198,6.0495
"SanDisk Computer Printout Paper, Premium",496,30,6.0484
"Eldon Shelving, Wire Frame",1093,66,6.0384
"Harbour Creations Chairmat, Set of Two",2452,148,6.0359
"Logitech Flash Drive, USB",1160,70,6.0345
"Avery 3-Hole Punch, Recycled",879,53,6.0296
"Rogers Folders, Industrial",2123,128,6.0292
"Eldon Stacking Tray, Black",533,32,6.0038
"Brother Personal Copier, Digital",3579,214,5.9793
"Nokia Speaker Phone, Cordless",4249,252,5.9308
"Smead Lockers, Blue",21820,1289,5.9074
"Enermax Note Cards, Multicolor",1105,65,5.8824
"Acco Hole Reinforcements, Recycled",102,6,5.8824
"Bevis Wood Table, with Bottom Storage",10921,640,5.8603
"Eldon Box, Single Width",342,20,5.848
"Fiskars Ruler, Serrated",154,9,5.8442
"Nokia Smart Phone, Full Size",70183,4099,5.8404
"Office Star Rocking Chair, Black",8336,486,5.8301
"Cardinal 3-Hole Punch, Economy",1099,64,5.8235
"Hon Shipping Labels, Laser Printer Compatible",292,17,5.8219
"Harbour Creations Swivel Stool, Red",13664,792,5.7963
"OIC Clamps, Assorted Sizes",121,7,5.7851
"Okidata Inkjet, Wireless",21244,1225,5.7663
"Hon Coffee Table, with Bottom Storage",2195,126,5.7403
"Hon Bag Chairs, Set of Two",2648,152,5.7402
"Smead File Cart, Industrial",9849,565,5.7366
"Fiskars Shears, Serrated",1553,89,5.7308
"Rogers Folders, Single Width",804,46,5.7214
"Bush Corner Shelving, Metal",4601,263,5.7161
Prestige Round Ring Binders,35,2,5.7143
"Lesro Round Table, Rectangular",10707,607,5.6692
"Brother Copy Machine, Color",20325,1149,5.6531
"Boston Canvas, Blue",2268,128,5.6437
"Sauder Library with Doors, Pine",10353,583,5.6312
"Stanley Markers, Fluorescent",924,52,5.6277
"Stockwell Rubber Bands, Bulk Pack",569,32,5.6239
"Bush 3-Shelf Cabinet, Traditional",3845,215,5.5917
"Avery Hole Reinforcements, Clear",144,8,5.5556
"Avery Shipping Labels, 5000 Label Set",560,31,5.5357
"Kraft Mailers, Set of 50",813,45,5.5351
Harmony Air Purifier,1381,76,5.5033
"Tenex Trays, Industrial",2658,146,5.4929
"Fiskars Trimmer, Steel",1604,88,5.4863
"Okidata Inkjet, Durable",8561,469,5.4783
"Sauder Stackable Bookrack, Pine",12199,668,5.4759
"Safco Library with Doors, Metal",10670,584,5.4733
"Boston Pencil Sharpener, Easy-Erase",1828,100,5.4705
"Office Star Steel Folding Chair, Black",6222,339,5.4484
"Boston Pens, Water Color",514,28,5.4475
"Cameo Clasp Envelope, Set of 50",202,11,5.4455
"Bush Floating Shelf Set, Metal",5664,308,5.4379
"Memorex Numeric Keypad, Bluetooth",2929,159,5.4285
"Fellowes File Cart, Blue",8345,453,5.4284
"Cameo Business Envelopes, Set of 50",461,25,5.423
"Fiskars Shears, Easy Grip",1457,79,5.4221
"Konica Printer, Durable",5454,295,5.4089
"Binney & Smith Sketch Pad, Easy-Erase",869,47,5.4085
"GlobeWeis Manila Envelope, Recycled",576,31,5.3819
"Avery Hole Reinforcements, Economy",93,5,5.3763
"Stockwell Clamps, 12 Pack",1397,75,5.3686
"Ibico 3-Hole Punch, Durable",1435,77,5.3659
"Panasonic Phone, Durable",1268,68,5.3628
"Enermax Keyboard, USB",2650,142,5.3585
"Sanford Canvas, Water Color",2503,134,5.3536
"SanDisk Cards & Envelopes, Recycled",1632,87,5.3309
"Sauder Classic Bookcase, Pine",23058,1225,5.3127
"Breville Microwave, Red",13634,724,5.3103
"Stockwell Paper Clips, Bulk Pack",264,14,5.303
"Fellowes File Cart, Wire Frame",8226,436,5.3003
"Tenex Box, Blue",736,39,5.2989
"SanDisk Flash Drive, Bluetooth",1794,95,5.2954
"Tenex File Cart, Industrial",6210,327,5.2657
"Stockwell Push Pins, Metal",513,27,5.2632
12-1/2 Diameter Round Wall Clock,456,24,5.2632
"Office Star Rocking Chair, Set of Two",9286,486,5.2337
"Binney & Smith Pencil Sharpener, Easy-Erase",1286,67,5.21
"Tenex Clock, Black",1676,87,5.1909
"Enermax Message Books, Premium",174,9,5.1724
"Breville Toaster, White",426,22,5.1643
"Nokia Audio Dock, with Caller ID",6471,334,5.1615
"Kraft Peel and Seal, with clear poly window",504,26,5.1587
"Samsung Office Telephone, Cordless",2639,136,5.1535
"Stockwell Push Pins, Bulk Pack",408,21,5.1471
"Safco 3-Shelf Cabinet, Traditional",6238,321,5.1459
"Cardinal Hole Reinforcements, Durable",175,9,5.1429
"Binney & Smith Markers, Water Color",1479,76,5.1386
"Hamilton Beach Microwave, Silver",4420,227,5.1357
"SAFCO Executive Leather Armchair, Adjustable",21680,1113,5.1338
"Eaton Memo Slips, Recycled",78,4,5.1282
"Apple Office Telephone, with Caller ID",1912,98,5.1255
"Eldon Box, Blue",293,15,5.1195
"Acco Binder Covers, Durable",470,24,5.1064
"Rogers Lockers, Single Width",17854,911,5.1025
"Acme Shears, Steel",492,25,5.0813
"Advantus Clock, Durable",1517,77,5.0758
Bretford Rectangular Conference Table Tops,11116,564,5.0738
"Enermax Note Cards, Premium",1363,69,5.0624
"Jiffy Interoffice Envelope, Set of 50",1468,74,5.0409
"Novimex Swivel Stool, Adjustable",5960,300,5.0336
"Sanford Highlighters, Blue",260,13,5
"Cardinal Index Tab, Clear",702,35,4.9858
"Okidata Card Printer, Wireless",2830,141,4.9823
"Dania Corner Shelving, Mobile",4006,199,4.9675
"Cardinal Hole Reinforcements, Economy",141,7,4.9645
"Harbour Creations Bag Chairs, Black",1442,71,4.9237
"Dania Stackable Bookrack, Mobile",3965,195,4.918
"Smead Round Labels, Alphabetical",61,3,4.918
"Eaton Note Cards, Premium",1426,70,4.9088
"Elite Ruler, Steel",428,21,4.9065
"Ikea Stackable Bookrack, Mobile",5097,250,4.9048
"HP Fax Machine, Digital",12978,636,4.9006
"Sharp Wireless Fax, Laser",15271,748,4.8982
"Cameo Business Envelopes, Security-Tint",286,14,4.8951
"Hamilton Beach Refrigerator, Red",16350,800,4.893
"Stockwell Clamps, Bulk Pack",1165,57,4.8927
"Smead Shipping Labels, Alphabetical",348,17,4.8851
"Avery Round Labels, 5000 Label Set",123,6,4.878
"Tenex Lockers, Single Width",14699,714,4.8575
"Barricks Computer Table, Adjustable Height",2956,143,4.8376
"Fellowes Box, Single Width",664,32,4.8193
"Hewlett Fax Machine, Color",10077,482,4.7832
"Eldon File Cart, Single Width",27686,1322,4.775
"Samsung Audio Dock, Cordless",9971,475,4.7638
"Nokia Audio Dock, Full Size",7433,353,4.7491
"Sanford Canvas, Blue",2485,118,4.7485
"KitchenAid Microwave, Silver",14417,684,4.7444
"Rogers File Cart, Single Width",20731,983,4.7417
"Hon Bag Chairs, Adjustable",1815,86,4.7383
"Eldon Photo Frame, Durable",929,44,4.7363
"Tenex Clock, Duo Pack",1693,80,4.7253
"Epson Card Printer, White",2857,135,4.7252
"Sharp Fax Machine, Digital",13299,627,4.7146
"Cameo Mailers, with clear poly window",1061,50,4.7125
"Nokia Office Telephone, Full Size",3524,166,4.7106
"Dania Library with Doors, Mobile",12419,584,4.7025
"Avery Binder, Recycled",468,22,4.7009
"Dania Corner Shelving, Pine",4893,230,4.7006
"Ikea Classic Bookcase, Traditional",21905,1029,4.6976
"Hon Training Table, Adjustable Height",5726,268,4.6804
"Office Star Swivel Stool, Set of Two",7174,335,4.6696
"Novimex Bag Chairs, Red",1589,74,4.657
Avery Printable Repositionable Plastic Tabs,43,2,4.6512
"Chromcraft Wood Table, with Bottom Storage",4150,193,4.6506
"Bush Floating Shelf Set, Pine",6695,311,4.6453
"Acco Binder Covers, Recycled",691,32,4.631
"Cameo Clasp Envelope, Security-Tint",304,14,4.6053
"BIC Pens, Easy-Erase",478,22,4.6025
"Enermax Cards & Envelopes, Multicolor",848,39,4.5991
"Cisco Office Telephone, Cordless",2349,108,4.5977
"Epson Card Printer, Wireless",6662,306,4.5932
"Safco Floating Shelf Set, Pine",8633,396,4.587
"Cameo Interoffice Envelope, Security-Tint",1641,75,4.5704
"Hon Computer Table, Fully Assembled",6503,296,4.5517
"Hon Steel Folding Chair, Red",2681,122,4.5505
"Stanley Sketch Pad, Water Color",2177,99,4.5475
"Avery Index Tab, Clear",154,7,4.5455
"Accos Rubber Bands, Assorted Sizes",176,8,4.5455
"Sauder Stackable Bookrack, Traditional",2917,132,4.5252
"Sauder Library with Doors, Metal",12853,581,4.5203
"Green Bar Cards & Envelopes, Recycled",867,39,4.4983
"KitchenAid Refrigerator, Red",7049,317,4.4971
"Cisco Headset, Cordless",2234,100,4.4763
"Canon Wireless Fax, Digital",12693,567,4.467
"Harbour Creations Chairmat, Black",6264,278,4.4381
"Acme Letter Opener, Serrated",609,27,4.4335
Wilson Jones Impact Binders,113,5,4.4248
"Stanley Canvas, Water Color",2991,132,4.4132
"Eldon Shelving, Industrial",3469,152,4.3817
"Binney & Smith Pens, Water Color",457,20,4.3764
"Elite Trimmer, Easy Grip",1579,69,4.3699
"Memorex Keyboard, Bluetooth",1626,71,4.3665
"Deflect-O Stacking Tray, Erganomic",962,42,4.3659
"GlobeWeis Manila Envelope, Security-Tint",1105,48,4.3439
"Xerox Computer Printout Paper, 8.5 x 11",691,30,4.3415
Eureka Sanitaire  Commercial Upright,1524,66,4.3307
"Motorola Headset, VoIP",2220,96,4.3243
"Novimex File Folder Labels, Alphabetical",185,8,4.3243
"Bush Classic Bookcase, Metal",20367,879,4.3158
"Sharp Fax Machine, High-Speed",15664,676,4.3156
"Office Star Bag Chairs, Red",1677,72,4.2934
"Hewlett Copy Machine, Laser",12295,527,4.2863
"Ibico 3-Hole Punch, Recycled",2366,101,4.2688
"Tenex Box, Wire Frame",539,23,4.2672
"Stiletto Shears, High Speed",2049,87,4.246
"Tenex Box, Single Width",613,26,4.2414
"Logitech Numeric Keypad, Erganomic",1655,70,4.2296
"Acco Index Tab, Economy",379,16,4.2216
"Ames Business Envelopes, Recycled",474,20,4.2194
"Belkin Router, Erganomic",17670,744,4.2105
"Sauder 3-Shelf Cabinet, Pine",6004,252,4.1972
"Wilson Jones Binder Covers, Economy",358,15,4.1899
"SanDisk Flash Drive, USB",955,40,4.1885
"Belkin Numeric Keypad, Erganomic",2640,110,4.1667
"Fiskars Letter Opener, Easy Grip",2407,100,4.1545
"Stanley Canvas, Easy-Erase",3102,128,4.1264
"Barricks Coffee Table, Fully Assembled",2212,91,4.1139
"Cardinal 3-Hole Punch, Clear",1094,45,4.1133
"Brother Wireless Fax, Laser",23048,947,4.1088
"Ikea Library with Doors, Metal",13271,544,4.0992
"Hoover Coffee Grinder, Red",1689,69,4.0853
"Fellowes Shelving, Wire Frame",3210,131,4.081
"Apple Signal Booster, Cordless",8145,332,4.0761
"Samsung Speaker Phone, with Caller ID",5850,238,4.0684
"Harbour Creations Chairmat, Adjustable",1819,74,4.0682
"Sanford Markers, Fluorescent",1059,43,4.0604
"Samsung Speaker Phone, Full Size",6136,249,4.058
"Avery Binder, Durable",493,20,4.0568
"Konica Phone, Red",2276,92,4.0422
"Fiskars Trimmer, Serrated",1732,70,4.0416
"Canon Ink, Digital",6908,279,4.0388
"Safco Library with Doors, Traditional",9660,390,4.0373
"Eldon Clock, Durable",1339,54,4.0329
"Breville Refrigerator, Silver",9031,364,4.0306
"Cisco Signal Booster, with Caller ID",7916,319,4.0298
"Apple Signal Booster, with Caller ID",8149,328,4.025
"Ikea Library with Doors, Mobile",17285,695,4.0208
"Cuisinart Blender, Silver",1692,68,4.0189
"Canon Copy Machine, High-Speed",9058,364,4.0185
"Panasonic Phone, Wireless",847,34,4.0142
"Hon Rocking Chair, Set of Two",8961,359,4.0062
"Eldon Stacking Tray, Durable",725,29,4
"Tenex Trays, Blue",2353,94,3.9949
"Rogers File Cart, Industrial",8840,353,3.9932
"Smead Removable Labels, Adjustable",653,26,3.9816
"Eldon Trays, Blue",1307,52,3.9786
"Fellowes Lockers, Single Width",18781,746,3.9721
"Sanford Highlighters, Easy-Erase",657,26,3.9574
